Caption	Title	Extra	Gi	CreateDate	UpdateDate	Flags	TaxId	Slen	Biomol	MolType	Topology	SourceDb	SegSetSize	ProjectId	Genome	SubType	SubName	AssemblyGi	AssemblyAcc	Tech	Completeness	GeneticCode	Strand	Organism	Strain	BioSample
KM823358	Otidea nannfeldtii voucher rh101310 (OSC) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762489|gb|KM823358.1|	719762489	2015/06/11	2017/03/15	0	1421057	709	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	rh101310 (OSC)|USA|apothecium	0	NA	NA	NA	1	NA	Otidea nannfeldtii	NA	NA
KM823368	Otidea propinquata voucher KH.09.99 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762509|gb|KM823368.1|	719762509	2015/06/11	2017/03/15	0	1570467	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.99 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea propinquata	NA	NA
KM823369	Otidea propinquata voucher NV 2008.09.15 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762511|gb|KM823369.1|	719762511	2015/06/11	2017/03/15	0	1570467	657	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV 2008.09.15 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea propinquata	NA	NA
KM823370	Otidea pseudoleporina voucher OSC 56809 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762513|gb|KM823370.1|	719762513	2015/06/11	2017/03/15	0	1570477	642	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	OSC 56809|USA|apothecium	0	NA	NA	NA	1	NA	Otidea pseudoleporina	NA	NA
KM823371	Otidea pseudoleporina voucher Moorefun 14 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762515|gb|KM823371.1|	719762515	2015/06/11	2017/03/15	0	1570477	709	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	Moorefun 14 (S)|USA|apothecium	0	NA	NA	NA	1	NA	Otidea pseudoleporina	NA	NA
KM823372	Otidea pseudoleporina voucher rh101910 (OSC) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762517|gb|KM823372.1|	719762517	2015/06/11	2017/03/15	0	1570477	709	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	rh101910 (OSC)|USA|apothecium	0	NA	NA	NA	1	NA	Otidea pseudoleporina	NA	NA
KM823373	Otidea pseudoleporina voucher OSC 56760 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762519|gb|KM823373.1|	719762519	2015/06/11	2017/03/15	0	1570477	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	OSC 56760|USA|apothecium	0	NA	NA	NA	1	NA	Otidea pseudoleporina	NA	NA
KM823374	Otidea subformicarum voucher NV128 (S)(dupl. CMP 1179) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762521|gb|KM823374.1|	719762521	2015/06/11	2017/03/15	0	1570478	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV128 (S)(dupl. CMP 1179)|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea subformicarum	NA	NA
KM823375	Otidea subformicarum voucher CL 050928-30 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762523|gb|KM823375.1|	719762523	2015/06/11	2017/03/15	0	1570478	709	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	CL 050928-30 (S)|Italy|apothecium	0	NA	NA	NA	1	NA	Otidea subformicarum	NA	NA
KM823376	Otidea aff. subformicarum FH301036 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762525|gb|KM823376.1|	719762525	2015/06/11	2017/03/15	0	1571537	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	FH301036|Mexico|apothecium	0	NA	NA	NA	1	NA	Otidea aff. subformicarum FH301036	NA	NA
KM823348	Otidea daliensis voucher SEST 06081702 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762469|gb|KM823348.1|	719762469	2015/06/11	2017/03/15	0	378508	722	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	SEST 06081702|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea daliensis	NA	NA
KM823339	Otidea borealis voucher S F-242694 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762451|gb|KM823339.1|	719762451	2015/06/11	2017/03/15	0	1570474	707	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	S F-242694|holotype of Otidea borealis|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea borealis	NA	NA
KM823340	Otidea brunneoparva voucher KH.09.82 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762453|gb|KM823340.1|	719762453	2015/06/11	2017/03/15	0	1570466	514	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.82 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea brunneoparva	NA	NA
KM823341	Otidea brunneoparva voucher TUR-A 198579 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762455|gb|KM823341.1|	719762455	2015/06/11	2017/03/15	0	1570466	519	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	TUR-A 198579|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea brunneoparva	NA	NA
KM823342	Otidea brunneoparva voucher KH.08.107 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762457|gb|KM823342.1|	719762457	2015/06/11	2017/03/15	0	1570466	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	KH.08.107 (S)|holotype of Otidea brunneoparva|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea brunneoparva	NA	NA
KM823343	Otidea bufonia voucher KH.09.249 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762459|gb|KM823343.1|	719762459	2015/06/11	2017/03/15	0	566114	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.249 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea bufonia	NA	NA
KM823344	Otidea caeruleopruinosa voucher H6010805 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762461|gb|KM823344.1|	719762461	2015/06/11	2017/03/15	0	1421059	645	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	H6010805|holotype of Otidea caeruleopruinosa|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea caeruleopruinosa	NA	NA
KM823345	Otidea caeruleopruinosa voucher NV143 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762463|gb|KM823345.1|	719762463	2015/06/11	2017/03/15	0	1421059	707	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV143 (S)|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea caeruleopruinosa	NA	NA
KM823346	Otidea cantharella voucher NV 2008.09.16 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762465|gb|KM823346.1|	719762465	2015/06/11	2017/03/15	0	566115	580	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV 2008.09.16 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea cantharella	NA	NA
KM823347	Otidea cantharella voucher KH.09.125 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762467|gb|KM823347.1|	719762467	2015/06/11	2017/03/15	0	566115	438	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.125 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea cantharella	NA	NA
KM823377	Otidea aff. subformicarum FH301035 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762527|gb|KM823377.1|	719762527	2015/06/11	2017/03/15	0	1571536	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	FH301035|Mexico|apothecium	0	NA	NA	NA	1	NA	Otidea aff. subformicarum FH301035	NA	NA
KM823349	Otidea flavidobrunneola voucher KH.09.153 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762471|gb|KM823349.1|	719762471	2015/06/11	2017/03/15	0	1421060	715	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.153 (S)|Norway|apothecium	0	NA	NA	NA	1	NA	Otidea flavidobrunneola	NA	NA
KM823350	Otidea flavidobrunneola voucher H6010806 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762473|gb|KM823350.1|	719762473	2015/06/11	2017/03/15	0	1421060	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	H6010806|holotype of Otidea flavidobrunneola|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea flavidobrunneola	NA	NA
KM823351	Otidea formicarum voucher S-F244372 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762475|gb|KM823351.1|	719762475	2015/06/11	2017/03/15	0	1421061	715	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	S-F244372|Norway|apothecium	0	NA	NA	NA	1	NA	Otidea formicarum	NA	NA
KM823352	Otidea leporina voucher KH.09.93 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762477|gb|KM823352.1|	719762477	2015/06/11	2017/03/15	0	47199	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.93 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea leporina	NA	NA
KM823353	Otidea leporina voucher NV 2008.09.28 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762479|gb|KM823353.1|	719762479	2015/06/11	2017/03/15	0	47199	715	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV 2008.09.28 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea leporina	NA	NA
KM823354	Otidea minor voucher KH.10.311 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762481|gb|KM823354.1|	719762481	2015/06/11	2017/03/15	0	1570475	707	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.10.311 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea minor	NA	NA
KM823355	Otidea minor voucher CL 950914-01 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762483|gb|KM823355.1|	719762483	2015/06/11	2017/03/15	0	1570475	716	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	CL 950914-01|Italy|apothecium	0	NA	NA	NA	1	NA	Otidea minor	NA	NA
KM823356	Otidea mirabilis voucher KH.10.285 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762485|gb|KM823356.1|	719762485	2015/06/11	2017/03/15	0	1125864	709	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.10.285 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea mirabilis	NA	NA
KM823357	Otidea nannfeldtii voucher KH.10.302 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762487|gb|KM823357.1|	719762487	2015/06/11	2017/03/15	0	1421057	715	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.10.302 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea nannfeldtii	NA	NA
KM823406	Otidea flavidobrunneola voucher H6010830 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762624|gb|KM823406.1|	719762624	2015/06/11	2017/03/15	0	1421060	717	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	H6010830|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea flavidobrunneola	NA	NA
KM823397	Otidea bufonia voucher KH.09.172 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762605|gb|KM823397.1|	719762605	2015/06/11	2017/03/15	0	566114	1763	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.172 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea bufonia	NA	NA
KM823398	Otidea caeruleopruinosa voucher H6010805 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762607|gb|KM823398.1|	719762607	2015/06/11	2017/03/15	0	1421059	676	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	H6010805|holotype of Otidea caeruleopruinosa|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea caeruleopruinosa	NA	NA
KM823399	Otidea caeruleopruinosa voucher NV143 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762609|gb|KM823399.1|	719762609	2015/06/11	2017/03/15	0	1421059	746	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV143 (S)|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea caeruleopruinosa	NA	NA
KM823400	Otidea cantharella voucher NV 2008.09.16 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762611|gb|KM823400.1|	719762611	2015/06/11	2017/03/15	0	566115	1740	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV 2008.09.16 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea cantharella	NA	NA
KM823401	Otidea cantharella voucher KH.09.125 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762613|gb|KM823401.1|	719762613	2015/06/11	2017/03/15	0	566115	1728	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.125 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea cantharella	NA	NA
KM823402	Otidea concinna voucher KH.09.183 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762615|gb|KM823402.1|	719762615	2015/06/11	2017/03/15	0	88578	1787	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	KH.09.183 (S)|epitype of Peziza concinna|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea concinna	NA	NA
KM823403	Otidea concinna voucher KH.09.250 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762617|gb|KM823403.1|	719762617	2015/06/11	2017/03/15	0	88578	739	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.250 (S)|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea concinna	NA	NA
KM823404	Otidea daliensis voucher SEST 06081702 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762619|gb|KM823404.1|	719762619	2015/06/11	2017/03/15	0	378508	1629	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	SEST 06081702|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea daliensis	NA	NA
KM823405	Otidea flavidobrunneola voucher KH.09.153 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762622|gb|KM823405.1|	719762622	2015/06/11	2017/03/15	0	1421060	926	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.153 (S)|Norway|apothecium	0	NA	NA	NA	1	NA	Otidea flavidobrunneola	NA	NA
KM823396	Otidea bufonia voucher KH.09.249 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762603|gb|KM823396.1|	719762603	2015/06/11	2017/03/15	0	566114	800	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.249 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea bufonia	NA	NA
KM823407	Otidea flavidobrunneola voucher H6010806 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762626|gb|KM823407.1|	719762626	2015/06/11	2017/03/15	0	1421060	746	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	H6010806|holotype of Otidea flavidobrunneola|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea flavidobrunneola	NA	NA
KM823408	Otidea formicarum voucher S-F244372 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762628|gb|KM823408.1|	719762628	2015/06/11	2017/03/15	0	1421061	1785	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	S-F244372|Norway|apothecium	0	NA	NA	NA	1	NA	Otidea formicarum	NA	NA
KM823409	Otidea formicarum voucher H6003549 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762630|gb|KM823409.1|	719762630	2015/06/11	2017/03/15	0	1421061	751	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	H6003549|holotype of Otidea formicarum|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea formicarum	NA	NA
KM823410	Otidea leporina voucher KH.09.93 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762632|gb|KM823410.1|	719762632	2015/06/11	2017/03/15	0	47199	1731	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.93 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea leporina	NA	NA
KM823411	Otidea leporina voucher NV 2008.09.28 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762634|gb|KM823411.1|	719762634	2015/06/11	2017/03/15	0	47199	719	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV 2008.09.28 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea leporina	NA	NA
KM823412	Otidea leporina voucher OSC 56784 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762636|gb|KM823412.1|	719762636	2015/06/11	2017/03/15	0	47199	807	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	OSC 56784|USA|apothecium	0	NA	NA	NA	1	NA	Otidea leporina	NA	NA
KM823413	Otidea leporina voucher OSC 56824 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762638|gb|KM823413.1|	719762638	2015/06/11	2017/03/15	0	47199	798	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	OSC 56824|USA|apothecium	0	NA	NA	NA	1	NA	Otidea leporina	NA	NA
KM823414	Otidea minor voucher KH.98.84 (C) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762640|gb|KM823414.1|	719762640	2015/06/11	2017/03/15	0	1570475	720	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.98.84 (C)|Denmark|apothecium	0	NA	NA	NA	1	NA	Otidea minor	NA	NA
KM823387	Otidea alutacea voucher Moorefun 19 (OSC) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762581|gb|KM823387.1|	719762581	2015/06/11	2017/03/15	0	88576	1725	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	Moorefun 19 (OSC)|USA|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823378	Otidea tuomikoskii voucher OSC 56761 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762529|gb|KM823378.1|	719762529	2015/06/11	2017/03/15	0	88583	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	OSC 56761|USA|apothecium	0	NA	NA	NA	1	NA	Otidea tuomikoskii	NA	NA
KM823379	Otidea kaushalii voucher T. Laessoe 6236 (C) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762531|gb|KM823379.1|	719762531	2015/06/11	2017/03/15	0	1652049	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	T. Laessoe 6236 (C)|Malaysia|apothecium	0	NA	NA	NA	1	NA	Otidea kaushalii	NA	NA
KM823380	Otidea sp. B KH-2014 voucher KH.09.79 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762533|gb|KM823380.1|	719762533	2015/06/11	2017/03/15	0	1570472	608	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.79 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea sp. B KH-2014	NA	NA
KM823381	Otidea alutacea voucher KH.09.133 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762568|gb|KM823381.1|	719762568	2015/06/11	2017/03/15	0	88576	1789	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.133 (S)|Norway|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823382	Otidea alutacea voucher ARAN A3023204 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762570|gb|KM823382.1|	719762570	2015/06/11	2017/03/15	0	88576	1749	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	ARAN A3023204|Spain|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823383	Otidea alutacea voucher JS.08.81 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762572|gb|KM823383.1|	719762572	2015/06/11	2017/03/15	0	88576	1678	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	JS.08.81 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823384	Otidea alutacea voucher KH.09.135 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762575|gb|KM823384.1|	719762575	2015/06/11	2017/03/15	0	88576	1789	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.135 (S)|Norway|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823385	Otidea alutacea voucher KH.09.178 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762577|gb|KM823385.1|	719762577	2015/06/11	2017/03/15	0	88576	1692	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.178 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823386	Otidea alutacea voucher MC2010-05 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762579|gb|KM823386.1|	719762579	2015/06/11	2017/03/15	0	88576	772	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	MC2010-05 (S)|Italy|apothecium	0	NA	NA	NA	1	NA	Otidea alutacea	NA	NA
KM823338	Otidea apophysata voucher NV136 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762449|gb|KM823338.1|	719762449	2015/06/11	2017/03/15	0	566113	722	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV136 (S)|Germany|apothecium	0	NA	NA	NA	1	NA	Otidea apophysata	NA	NA
KM823388	Otidea nannfeldtii voucher H6010804 RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762584|gb|KM823388.1|	719762584	2015/06/11	2017/03/15	0	1421057	1784	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	H6010804|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea nannfeldtii	NA	NA
KM823389	Otidea apophysata voucher NV136 (S) RNA polymerase II second largest subunit (RPB2) gene, partial cds	gi|719762586|gb|KM823389.1|	719762586	2015/06/11	2017/03/15	0	566113	750	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV136 (S)|Germany|apothecium	0	NA	NA	NA	1	NA	Otidea apophysata	NA	NA
